annee,mois,jour,jour_semaine,id_ligne,mode_transport,precipitation,vent,neige,temperature,meteo_defavorable,accessibilite,air_conditionne
2026,3,13,0,C01995,bus,2.9,25.0,0.0,8.5,0,FALSE,partial
2026,3,13,0,C00387,bus,2.9,25.0,0.0,8.5,0,unknown,partial
2026,3,13,0,C00425,bus,2.9,25.0,0.0,8.5,0,TRUE,FALSE
2026,3,13,0,C00624,bus,2.9,25.0,0.0,8.5,0,unknown,partial
2026,3,13,0,C02458,bus,2.9,25.0,0.0,8.5,0,unknown,FALSE
2026,3,13,0,C02519,bus,2.9,25.0,0.0,8.5,0,unknown,partial
2026,3,13,0,C02607,bus,2.9,25.0,0.0,8.5,0,unknown,partial
2026,3,13,0,C02773,bus,2.9,25.0,0.0,8.5,0,unknown,partial
2026,3,13,0,C02820,bus,2.9,25.0,0.0,8.5,0,unknown,unknown
2026,3,13,0,C01040,bus,2.9,25.0,0.0,8.5,0,FALSE,TRUE
2026,3,13,0,C01714,bus,2.9,25.0,0.0,8.5,0,unknown,partial
2026,3,13,0,C00486,bus,2.9,25.0,0.0,8.5,0,unknown,FALSE
2026,3,13,0,C01155,bus,2.9,25.0,0.0,8.5,0,TRUE,FALSE
2026,3,13,0,C00905,bus,2.9,25.0,0.0,8.5,0,unknown,TRUE
2026,3,13,0,C02739,bus,2.9,25.0,0.0,8.5,0,unknown,partial
2026,3,13,0,C01357,bus,2.9,25.0,0.0,8.5,0,TRUE,FALSE
2026,3,13,0,C00586,bus,2.9,25.0,0.0,8.5,0,unknown,partial
2026,3,13,0,C00634,bus,2.9,25.0,0.0,8.5,0,TRUE,partial
2026,3,13,0,C02074,bus,2.9,25.0,0.0,8.5,0,FALSE,TRUE
2026,3,13,0,C01212,bus,2.9,25.0,0.0,8.5,0,TRUE,FALSE
2026,3,13,0,C00850,bus,2.9,25.0,0.0,8.5,0,unknown,FALSE
2026,3,13,0,C00987,bus,2.9,25.0,0.0,8.5,0,unknown,partial
2026,3,13,0,C01501,bus,2.9,25.0,0.0,8.5,0,unknown,unknown
2026,3,13,0,C01257,bus,2.9,25.0,0.0,8.5,0,TRUE,FALSE
2026,3,13,0,C02287,bus,2.9,25.0,0.0,8.5,0,unknown,partial
2026,3,13,0,C00194,bus,2.9,25.0,0.0,8.5,0,unknown,partial
2026,3,13,0,C00517,bus,2.9,25.0,0.0,8.5,0,FALSE,FALSE
2026,3,13,0,C01876,bus,2.9,25.0,0.0,8.5,0,TRUE,unknown
2026,3,13,0,C02771,bus,2.9,25.0,0.0,8.5,0,unknown,partial
2026,3,13,0,C01634,bus,2.9,25.0,0.0,8.5,0,TRUE,TRUE
2026,3,13,0,C02283,bus,2.9,25.0,0.0,8.5,0,unknown,partial
2026,3,13,0,C00900,bus,2.9,25.0,0.0,8.5,0,unknown,partial
2026,3,13,0,C01272,bus,2.9,25.0,0.0,8.5,0,TRUE,TRUE
2026,3,13,0,C01363,bus,2.9,25.0,0.0,8.5,0,TRUE,FALSE
2026,3,13,0,C01060,bus,2.9,25.0,0.0,8.5,0,FALSE,TRUE
2026,3,13,0,C02461,bus,2.9,25.0,0.0,8.5,0,unknown,partial
2026,3,13,0,C02479,bus,2.9,25.0,0.0,8.5,0,unknown,unknown
2026,3,13,0,C01852,bus,2.9,25.0,0.0,8.5,0,FALSE,unknown
2026,3,13,0,C00658,bus,2.9,25.0,0.0,8.5,0,unknown,partial
2026,3,13,0,C00307,bus,2.9,25.0,0.0,8.5,0,unknown,FALSE
2026,3,13,0,C01999,tram,2.9,25.0,0.0,8.5,0,TRUE,TRUE
2026,3,13,0,C02127,bus,2.9,25.0,0.0,8.5,0,FALSE,partial
2026,3,13,0,C02151,bus,2.9,25.0,0.0,8.5,0,FALSE,partial
2026,3,13,0,C00855,bus,2.9,25.0,0.0,8.5,0,FALSE,FALSE
2026,3,13,0,C01282,bus,2.9,25.0,0.0,8.5,0,TRUE,TRUE
2026,3,13,0,C00615,bus,2.9,25.0,0.0,8.5,0,unknown,partial
2026,3,13,0,C00907,bus,2.9,25.0,0.0,8.5,0,unknown,TRUE
2026,3,13,0,C01510,bus,2.9,25.0,0.0,8.5,0,unknown,unknown
2026,3,13,0,C00233,bus,2.9,25.0,0.0,8.5,0,unknown,partial
2026,3,13,0,C01187,bus,2.9,25.0,0.0,8.5,0,TRUE,FALSE
2026,3,13,0,C01489,bus,2.9,25.0,0.0,8.5,0,FALSE,FALSE
2026,3,13,0,C00911,bus,2.9,25.0,0.0,8.5,0,unknown,partial
2026,3,13,0,C00211,bus,2.9,25.0,0.0,8.5,0,unknown,partial
2026,3,13,0,C00476,bus,2.9,25.0,0.0,8.5,0,unknown,unknown
2026,3,13,0,C01953,bus,2.9,25.0,0.0,8.5,0,FALSE,FALSE
2026,3,13,0,C01119,bus,2.9,25.0,0.0,8.5,0,TRUE,TRUE
2026,3,13,0,C01033,bus,2.9,25.0,0.0,8.5,0,unknown,unknown
2026,3,13,0,C02167,bus,2.9,25.0,0.0,8.5,0,FALSE,partial
2026,3,13,0,C00576,bus,2.9,25.0,0.0,8.5,0,unknown,partial
2026,3,13,0,C01974,bus,2.9,25.0,0.0,8.5,0,FALSE,partial
2026,3,13,0,C01811,bus,2.9,25.0,0.0,8.5,0,FALSE,partial
2026,3,13,0,C00656,bus,2.9,25.0,0.0,8.5,0,unknown,partial
2026,3,13,0,C02231,bus,2.9,25.0,0.0,8.5,0,unknown,partial
2026,3,13,0,C00073,bus,2.9,25.0,0.0,8.5,0,unknown,unknown
2026,3,13,0,C02233,bus,2.9,25.0,0.0,8.5,0,unknown,partial
2026,3,13,0,C01198,bus,2.9,25.0,0.0,8.5,0,TRUE,TRUE
2026,3,13,0,C02439,bus,2.9,25.0,0.0,8.5,0,unknown,unknown
2026,3,13,0,C02109,bus,2.9,25.0,0.0,8.5,0,FALSE,partial
2026,3,13,0,C01052,bus,2.9,25.0,0.0,8.5,0,FALSE,partial
2026,3,13,0,C02147,bus,2.9,25.0,0.0,8.5,0,FALSE,partial
2026,3,13,0,C02564,bus,2.9,25.0,0.0,8.5,0,unknown,partial
2026,3,13,0,C01870,bus,2.9,25.0,0.0,8.5,0,FALSE,partial
2026,3,13,0,C00401,bus,2.9,25.0,0.0,8.5,0,unknown,FALSE
2026,3,13,0,C00166,bus,2.9,25.0,0.0,8.5,0,unknown,FALSE
2026,3,13,0,C00782,bus,2.9,25.0,0.0,8.5,0,TRUE,TRUE
2026,3,13,0,C01687,bus,2.9,25.0,0.0,8.5,0,TRUE,partial
2026,3,13,0,C01100,bus,2.9,25.0,0.0,8.5,0,TRUE,TRUE
2026,3,13,0,C00756,bus,2.9,25.0,0.0,8.5,0,unknown,unknown
2026,3,13,0,C01169,bus,2.9,25.0,0.0,8.5,0,TRUE,FALSE
2026,3,13,0,C01218,bus,2.9,25.0,0.0,8.5,0,TRUE,TRUE
2026,3,13,0,C01469,bus,2.9,25.0,0.0,8.5,0,FALSE,unknown
2026,3,13,0,C01693,bus,2.9,25.0,0.0,8.5,0,unknown,partial
2026,3,13,0,C01074,bus,2.9,25.0,0.0,8.5,0,TRUE,partial
2026,3,13,0,C00963,bus,2.9,25.0,0.0,8.5,0,unknown,partial
2026,3,13,0,C00480,bus,2.9,25.0,0.0,8.5,0,unknown,unknown
2026,3,13,0,C00414,bus,2.9,25.0,0.0,8.5,0,unknown,FALSE
2026,3,13,0,C01459,bus,2.9,25.0,0.0,8.5,0,FALSE,unknown
2026,3,13,0,C00481,bus,2.9,25.0,0.0,8.5,0,unknown,unknown
2026,3,13,0,C00562,bus,2.9,25.0,0.0,8.5,0,,
2026,3,13,0,C00606,bus,2.9,25.0,0.0,8.5,0,unknown,partial
2026,3,13,0,C00662,bus,2.9,25.0,0.0,8.5,0,unknown,partial
2026,3,13,0,C01319,bus,2.9,25.0,0.0,8.5,0,TRUE,FALSE
2026,3,13,0,C00839,bus,2.9,25.0,0.0,8.5,0,FALSE,FALSE
2026,3,13,0,C00989,bus,2.9,25.0,0.0,8.5,0,unknown,partial
2026,3,13,0,C00519,bus,2.9,25.0,0.0,8.5,0,FALSE,FALSE
2026,3,13,0,C00599,bus,2.9,25.0,0.0,8.5,0,FALSE,partial
2026,3,13,0,C01043,bus,2.9,25.0,0.0,8.5,0,FALSE,unknown
2026,3,13,0,C01902,bus,2.9,25.0,0.0,8.5,0,FALSE,unknown
2026,3,13,0,C02435,bus,2.9,25.0,0.0,8.5,0,unknown,unknown
2026,3,13,0,C02709,bus,2.9,25.0,0.0,8.5,0,unknown,unknown
2026,3,13,0,C02745,bus,2.9,25.0,0.0,8.5,0,unknown,unknown
2026,3,13,0,C01970,bus,2.9,25.0,0.0,8.5,0,FALSE,partial
2026,3,13,0,C00836,bus,2.9,25.0,0.0,8.5,0,unknown,FALSE
2026,3,13,0,C01455,bus,2.9,25.0,0.0,8.5,0,FALSE,unknown
2026,3,13,0,C00242,bus,2.9,25.0,0.0,8.5,0,FALSE,partial
2026,3,13,0,C01937,bus,2.9,25.0,0.0,8.5,0,unknown,partial
2026,3,13,0,C02232,bus,2.9,25.0,0.0,8.5,0,unknown,partial
2026,3,13,0,C01049,bus,2.9,25.0,0.0,8.5,0,FALSE,TRUE
2026,3,13,0,C02097,bus,2.9,25.0,0.0,8.5,0,FALSE,TRUE
2026,3,13,0,C00379,bus,2.9,25.0,0.0,8.5,0,unknown,partial
2026,3,13,0,C02412,bus,2.9,25.0,0.0,8.5,0,unknown,TRUE
2026,3,13,0,C02695,bus,2.9,25.0,0.0,8.5,0,unknown,partial
2026,3,13,0,C00332,bus,2.9,25.0,0.0,8.5,0,TRUE,partial
2026,3,13,0,C00697,bus,2.9,25.0,0.0,8.5,0,TRUE,partial
2026,3,13,0,C00177,bus,2.9,25.0,0.0,8.5,0,unknown,FALSE
2026,3,13,0,C02117,bus,2.9,25.0,0.0,8.5,0,FALSE,TRUE
2026,3,13,0,C01757,bus,2.9,25.0,0.0,8.5,0,TRUE,unknown
2026,3,13,0,C01672,bus,2.9,25.0,0.0,8.5,0,TRUE,partial
2026,3,13,0,C00665,bus,2.9,25.0,0.0,8.5,0,TRUE,partial
2026,3,13,0,C00521,bus,2.9,25.0,0.0,8.5,0,unknown,unknown
